customer_id,first_name,last_name,email,phone,age,total_purchases,total_spent,join_date,city,state,average_order_value,tenure_days,Customer_tier
1.0,John,Smith,john@email.com,(555) 123-4567,51.0,21,4455,2023-04-07,New York,NY,212.14,1064,VIP
2.0,Mary,Johnson,mary@email.com,(555) 234-5678,51.0,22,2947,2025-03-18,Los Angeles,CA,133.95,353,VIP
3.0,Bob,Williams,bob@gmail.com,(555) 345-6789,51.0,1,1719,2026-01-30,Chicago,IL,1719.0,35,Regular
8.0,Frank,Davis,frank@email.com,(555) 789-0123,51.0,16,666,2023-06-11,San Diego,CA,41.62,999,Regular
9.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,51.0,39,4188,2024-03-03,Dallas,TX,107.38,733,VIP
10.0,Henry,Martinez,henry@email.com,(555) 901-2345,75.0,32,671,2024-11-02,San Jose,CA,20.97,489,Regular
11.0,John,Smith,john@email.com,(555) 123-4567,36.0,8,1969,2024-10-10,New York,NY,246.12,512,Regular
12.0,Mary,Johnson,mary@email.com,(555) 234-5678,40.0,42,4156,2025-12-26,Los Angeles,CA,98.95,70,VIP
13.0,Bob,Williams,bob@gmail.com,(555) 345-6789,28.0,47,3122,2023-12-26,Chicago,IL,66.43,801,VIP
16.0,David,Garcia,david@email.com,,70.0,41,3900,2025-01-06,Philadelphia,PA,95.12,424,VIP
18.0,Frank,Davis,frank@email.com,(555) 789-0123,57.0,34,2393,2025-06-06,San Diego,CA,70.38,273,VIP
19.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,41.0,49,3117,2025-01-16,Dallas,TX,63.61,414,VIP
20.0,Henry,Martinez,henry@email.com,(555) 901-2345,20.0,24,2593,2025-03-13,San Jose,CA,108.04,358,VIP
21.0,John,Smith,john@email.com,(555) 123-4567,39.0,23,1968,2024-05-23,New York,NY,85.57,652,Regular
22.0,Mary,Johnson,mary@email.com,(555) 234-5678,70.0,12,1753,2025-09-27,Los Angeles,CA,146.08,160,Regular
26.0,David,Garcia,david@email.com,,47.0,19,4202,2024-02-15,Philadelphia,PA,221.16,750,VIP
28.0,Frank,Davis,frank@email.com,(555) 789-0123,19.0,7,4143,2023-05-28,San Diego,CA,591.86,1013,VIP
29.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,77.0,45,3644,2025-02-04,Dallas,TX,80.98,395,VIP
30.0,Henry,Martinez,henry@email.com,(555) 901-2345,38.0,15,4432,2023-07-22,San Jose,CA,295.47,958,VIP
31.0,John,Smith,john@email.com,(555) 123-4567,50.0,13,2055,2023-05-23,New York,NY,158.08,1018,VIP
32.0,Mary,Johnson,mary@email.com,(555) 234-5678,29.0,11,4720,2025-01-05,Los Angeles,CA,429.09,425,VIP
33.0,Bob,Williams,bob@gmail.com,(555) 345-6789,75.0,22,1276,2024-06-06,Chicago,IL,58.0,638,Regular
36.0,David,Garcia,david@email.com,,61.0,33,638,2025-08-07,Philadelphia,PA,19.33,211,Regular
38.0,Frank,Davis,frank@email.com,(555) 789-0123,66.0,31,4821,2023-11-29,San Diego,CA,155.52,828,VIP
39.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,44.0,22,525,2023-07-21,Dallas,TX,23.86,959,Regular
40.0,Henry,Martinez,henry@email.com,(555) 901-2345,76.0,21,4569,2023-06-01,San Jose,CA,217.57,1009,VIP
41.0,John,Smith,john@email.com,(555) 123-4567,59.0,24,4123,2025-08-12,New York,NY,171.79,206,VIP
42.0,Mary,Johnson,mary@email.com,(555) 234-5678,45.0,21,2125,2023-06-04,Los Angeles,CA,101.19,1006,VIP
43.0,Bob,Williams,bob@gmail.com,(555) 345-6789,77.0,21,3287,2025-02-12,Chicago,IL,156.52,387,VIP
48.0,Frank,Davis,frank@email.com,(555) 789-0123,64.0,42,918,2024-02-20,San Diego,CA,21.86,745,Regular
49.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,79.0,36,2797,2026-01-26,Dallas,TX,77.69,39,VIP
50.0,Henry,Martinez,henry@email.com,(555) 901-2345,68.0,32,1531,2024-10-06,San Jose,CA,47.84,516,Regular
51.0,John,Smith,john@email.com,(555) 123-4567,61.0,7,3345,2023-09-01,New York,NY,477.86,917,VIP
52.0,Mary,Johnson,mary@email.com,(555) 234-5678,72.0,43,1906,2025-04-06,Los Angeles,CA,44.33,334,Regular
53.0,Bob,Williams,bob@gmail.com,(555) 345-6789,69.0,43,3086,2024-02-03,Chicago,IL,71.77,762,VIP
56.0,David,Garcia,david@email.com,,54.0,3,713,2025-06-05,Philadelphia,PA,237.67,274,Regular
58.0,Frank,Davis,frank@email.com,(555) 789-0123,24.0,44,1976,2023-03-16,San Diego,CA,44.91,1086,Regular
59.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,38.0,31,1296,2023-11-20,Dallas,TX,41.81,837,Regular
60.0,Henry,Martinez,henry@email.com,(555) 901-2345,26.0,29,125,2026-01-13,San Jose,CA,4.31,52,Occasional
61.0,John,Smith,john@email.com,(555) 123-4567,56.0,46,4632,2023-06-29,New York,NY,100.7,981,VIP
62.0,Mary,Johnson,mary@email.com,(555) 234-5678,35.0,34,3596,2024-10-22,Los Angeles,CA,105.76,500,VIP
63.0,Bob,Williams,bob@gmail.com,(555) 345-6789,21.0,39,3283,2025-03-30,Chicago,IL,84.18,341,VIP
66.0,David,Garcia,david@email.com,,31.0,49,232,2024-03-16,Philadelphia,PA,4.73,720,Occasional
68.0,Frank,Davis,frank@email.com,(555) 789-0123,75.0,29,1169,2025-01-30,San Diego,CA,40.31,400,Regular
69.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,26.0,18,2158,2025-05-21,Dallas,TX,119.89,289,VIP
70.0,Henry,Martinez,henry@email.com,(555) 901-2345,43.0,16,4206,2023-07-31,San Jose,CA,262.88,949,VIP
71.0,John,Smith,john@email.com,(555) 123-4567,70.0,18,1493,2023-08-05,New York,NY,82.94,944,Regular
72.0,Mary,Johnson,mary@email.com,(555) 234-5678,19.0,27,4718,2025-03-08,Los Angeles,CA,174.74,363,VIP
73.0,Bob,Williams,bob@gmail.com,(555) 345-6789,37.0,25,4007,2025-01-18,Chicago,IL,160.28,412,VIP
76.0,David,Garcia,david@email.com,,77.0,22,2739,2025-01-31,Philadelphia,PA,124.5,399,VIP
78.0,Frank,Davis,frank@email.com,(555) 789-0123,61.0,11,3514,2025-09-18,San Diego,CA,319.45,169,VIP
79.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,78.0,0,1975,2025-04-24,Dallas,TX,0.0,316,Regular
80.0,Henry,Martinez,henry@email.com,(555) 901-2345,25.0,0,2362,2024-12-06,San Jose,CA,0.0,455,VIP
81.0,John,Smith,john@email.com,(555) 123-4567,64.0,46,876,2024-03-08,New York,NY,19.04,728,Regular
82.0,Mary,Johnson,mary@email.com,(555) 234-5678,52.0,33,3812,2023-07-08,Los Angeles,CA,115.52,972,VIP
83.0,Bob,Williams,bob@gmail.com,(555) 345-6789,31.0,31,3448,2024-07-06,Chicago,IL,111.23,608,VIP
86.0,David,Garcia,david@email.com,,67.0,39,2709,2023-06-23,Philadelphia,PA,69.46,987,VIP
88.0,Frank,Davis,frank@email.com,(555) 789-0123,21.0,0,1733,2025-12-12,San Diego,CA,0.0,84,Regular
89.0,Grace,Rodriguez,grace@email.com,(555) 890-1234,19.0,15,1605,2023-07-18,Dallas,TX,107.0,962,Regular
90.0,Henry,Martinez,henry@email.com,(555) 901-2345,79.0,38,2563,2024-03-03,San Jose,CA,67.45,733,VIP
91.0,John,Smith,john@email.com,(555) 123-4567,23.0,4,3421,2023-11-27,New York,NY,855.25,830,VIP
92.0,Mary,Johnson,mary@email.com,(555) 234-5678,71.0,21,3517,2026-01-31,Los Angeles,CA,167.48,34,VIP
93.0,Bob,Williams,bob@gmail.com,(555) 345-6789,59.0,28,2397,2023-02-21,Chicago,IL,85.61,1109,VIP
