customer_id,first_name,last_name,email,phone,age,total_purchases,total_spent,join_date,city,state
1,  John,Smith,john@EMAIL.com,(555) 123-4567,-5.0,21,4455,2023-04-07,New York,NY
2,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,-5.0,22,2947,2025-03-18,los angeles,ca
3,bob,williams,  bob@gmail.com,5553456789,-5.0,1,1719,2026-01-30,CHICAGO  ,IL
4,  Alice  ,Brown  ,alice.email.com,555.456.7890,150.0,26,280,2025-07-10,  Houston,TX  
5,Charlie,Jones,charlie@,invalid,150.0,41,3266,2025-03-09,Phoenix,AZ
6,david,,david@email.com,123,150.0,1,1887,2024-04-21,Philadelphia,PA
7,Emma,Miller,invalid-email,(555)678-9012,,25,3266,2025-02-02,san antonio,TX
8,FRANK,  Davis,frank@email.com,555 789 0123,,16,666,2023-06-11,San Diego,CA
9,grace,Rodriguez,grace@email.com,5558901234,,39,4188,2024-03-03,Dallas,TX
10,Henry,Martinez,henry@email.com,(555) 901-2345,75.0,32,671,2024-11-02,San Jose,CA
11,  John,Smith,john@EMAIL.com,(555) 123-4567,36.0,8,1969,2024-10-10,New York,NY
12,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,40.0,42,4156,2025-12-26,los angeles,ca
13,bob,williams,  bob@gmail.com,5553456789,28.0,47,3122,2023-12-26,CHICAGO  ,IL
14,  Alice  ,Brown  ,alice.email.com,555.456.7890,28.0,38,4699,2023-04-08,  Houston,TX  
15,Charlie,Jones,charlie@,invalid,41.0,28,4777,2024-03-02,Phoenix,AZ
16,david,Garcia,david@email.com,123,70.0,41,3900,2025-01-06,Philadelphia,PA
17,Emma,Miller,invalid-email,(555)678-9012,53.0,25,523,2023-06-06,san antonio,TX
18,FRANK,  Davis,frank@email.com,555 789 0123,57.0,34,2393,2025-06-06,San Diego,CA
19,grace,Rodriguez,grace@email.com,5558901234,41.0,49,3117,2025-01-16,Dallas,TX
20,Henry,Martinez,henry@email.com,(555) 901-2345,20.0,24,2593,2025-03-13,San Jose,CA
21,  John,Smith,john@EMAIL.com,(555) 123-4567,39.0,23,1968,2024-05-23,New York,NY
22,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,70.0,12,1753,2025-09-27,los angeles,ca
23,bob,,  bob@gmail.com,5553456789,19.0,6,2296,2023-09-12,CHICAGO  ,IL
24,  Alice  ,Brown  ,alice.email.com,555.456.7890,41.0,35,2261,2024-03-25,  Houston,TX  
25,Charlie,Jones,charlie@,invalid,61.0,44,2286,2023-11-07,Phoenix,AZ
26,david,Garcia,david@email.com,123,47.0,19,4202,2024-02-15,Philadelphia,PA
27,Emma,Miller,invalid-email,(555)678-9012,55.0,0,2878,2024-06-27,san antonio,TX
28,FRANK,  Davis,frank@email.com,555 789 0123,19.0,7,4143,2023-05-28,San Diego,CA
29,grace,Rodriguez,grace@email.com,5558901234,77.0,45,3644,2025-02-04,Dallas,TX
30,Henry,Martinez,henry@email.com,(555) 901-2345,38.0,15,4432,2023-07-22,San Jose,CA
31,  John,Smith,john@EMAIL.com,(555) 123-4567,50.0,13,2055,2023-05-23,New York,NY
32,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,29.0,11,4720,2025-01-05,los angeles,ca
33,bob,williams,  bob@gmail.com,5553456789,75.0,22,1276,2024-06-06,CHICAGO  ,IL
34,  Alice  ,Brown  ,alice.email.com,555.456.7890,39.0,14,2766,2023-05-23,  Houston,TX  
35,Charlie,Jones,charlie@,invalid,78.0,27,302,2024-06-01,Phoenix,AZ
36,david,Garcia,david@email.com,123,61.0,33,638,2025-08-07,Philadelphia,PA
37,Emma,Miller,invalid-email,(555)678-9012,42.0,1,55,2025-10-03,san antonio,TX
38,FRANK,  Davis,frank@email.com,555 789 0123,66.0,31,4821,2023-11-29,San Diego,CA
39,grace,Rodriguez,grace@email.com,5558901234,44.0,22,525,2023-07-21,Dallas,TX
40,Henry,Martinez,henry@email.com,(555) 901-2345,76.0,21,4569,2023-06-01,San Jose,CA
41,  John,Smith,john@EMAIL.com,(555) 123-4567,59.0,24,4123,2025-08-12,New York,NY
42,MARY  ,JOHNSON,mary@email.COM  ,555-234-5678,45.0,21,2125,2023-06-04,los angeles,ca
43,bob,williams,  bob@gmail.com,5553456789,77.0,21,3287,2025-02-12,CHICAGO  ,IL
44,  Alice  ,Brown  ,alice.email.com,555.456.7890,33.0,48,364,2026-01-03,  Houston,TX  
45,Charlie,Jones,charlie@,invalid,32.0,41,4621,2024-10-02,Phoenix,AZ
46,david,,david@email.com,123,79.0,5,4978,2023-06-05,Philadelphia,PA
